Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
9.183	0.0678	1.71			
9.200	0.0679	1.71			
9.217	0.0680	1.71			
9.233	0.0682	1.71			
9.250	0.0682	1.71			
9.267	0.0683	1.71			
9.283	0.0684	1.73			
9.300	0.0685	1.73			
9.317	0.0687	1.73			
9.333	0.0689	1.71			
9.350	0.0692	1.71			
9.367	0.0694	1.71			
9.383	0.0697	1.71			
9.400	0.0700	1.71			
9.417	0.0701	1.71			
9.433	0.0704	1.71			
9.450	0.0707	1.73			
9.467	0.0711	1.73			
9.483	0.0715	1.71			
9.500	0.0718	1.71			
9.517	0.0723	1.71			
9.533	0.0726	1.71			
9.550	0.0731	1.73			
9.567	0.0731	1.73			
9.583	0.0732	1.71			
9.600	0.0734	1.73			
9.617	0.0737	1.71			
9.633	0.0740	1.73			
9.650	0.0742	1.71			
9.667	0.0744	1.71			
9.683	0.0746	1.73			
9.700	0.0748	1.71			
9.717	0.0749	1.71			
9.733	0.0751	1.73			
9.750	0.0752	1.73			
9.767	0.0754	1.73			
9.783	0.0756	1.73			
9.800	0.0757	1.71			
9.817	0.0759	1.73			
9.833	0.0761	1.73			
9.850	0.0764	1.71			
9.867	0.0767	1.73			
9.883	0.0770	1.73			
9.900	0.0773	1.71			
9.917	0.0776	1.71			
9.933	0.0778	1.71			
9.950	0.0781	1.71			
9.967	0.0783	1.71			
9.983	0.0786	1.71			
10.000	0.0788	1.71			
10.017	0.0790	1.71			
10.033	0.0792	1.71			
10.050	0.0794	1.73			
10.067	0.0795	1.71			
10.083	0.0796	1.73			
10.100	0.0798	1.71			
10.117	0.0799	1.73			
10.133	0.0800	1.71			
10.150	0.0801	1.71			
10.167	0.0803	1.71			
10.183	0.0804	1.71			
10.200	0.0806	1.71			
10.217	0.0807	1.73			
10.233	0.0809	1.71			
10.250	0.0811	1.71			
10.267	0.0812	1.71			
10.283	0.0814	1.71			
10.300	0.0816	1.71			
10.317	0.0819	1.71			
10.333	0.0821	1.73			
10.350	0.0824	1.71			
10.367	0.0826	1.71			
10.383	0.0829	1.73			
10.400	0.0831	1.71			
10.417	0.0834	1.73			
10.433	0.0837	1.71			
10.450	0.0840	1.70			
10.467	0.0843	1.73			
10.483	0.0850	1.71			
10.500	0.0854	1.71			
10.517	0.0852	1.71			
10.533	0.0854	1.73			
10.550	0.0855	1.73			
10.567	0.0857	1.73			
10.583	0.0860	1.73			
10.600	0.0862	1.73			
10.617	0.0865	1.71			
10.633	0.0866	1.71			
10.650	0.0866	1.73			
10.667	0.0868	1.71			
10.683	0.0869	1.73			
10.700	0.0871	1.71			
10.717	0.0872	1.71			
10.733	0.0873	1.73			
10.750	0.0875	1.71			
10.767	0.0877	1.71			
10.783	0.0878	1.71			
10.800	0.0879	1.71			
10.817	0.0880	1.73			
10.833	0.0881	1.71			
10.850	0.0882	1.71			
10.867	0.0884	1.73			
10.883	0.0885	1.71			
10.900	0.0887	1.71			
10.917	0.0890	1.71			
10.933	0.0892	1.71			
10.950	0.0894	1.71			
10.967	0.0896	1.71			
10.983	0.0897	1.73			
11.000	0.0898	1.71			
11.017	0.0898	1.73			
11.033	0.0898	1.73			
11.050	0.0898	1.73			
11.067	0.0899	1.71			
11.083	0.0900	1.73			
11.100	0.0901	1.73			
